locus_tag	ftype	length_bp	gene	EC_number	COG	product
PLNMODBO_00001	CDS	555		3.6.3.-		Multidrug efflux ATP-binding/permease protein
PLNMODBO_00002	CDS	1068	cugP_1	2.7.7.9		UTP--glucose-1-phosphate uridylyltransferase
PLNMODBO_00003	CDS	999	strE_1	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase
PLNMODBO_00004	CDS	888	strL_1	1.1.1.133	COG1091	dTDP-4-dehydrorhamnose reductase
PLNMODBO_00005	CDS	603	strM_1	5.1.3.13	COG1898	dTDP-4-dehydrorhamnose 3,5-epimerase
PLNMODBO_00006	CDS	1053	fepD_1		COG0609	Ferric enterobactin transport system permease protein FepD
PLNMODBO_00007	CDS	1074	fepG_1		COG4779	Ferric enterobactin transport system permease protein FepG
PLNMODBO_00008	CDS	1233	tolB_1			Tol-Pal system protein TolB
PLNMODBO_00009	CDS	576				hypothetical protein
PLNMODBO_00010	CDS	813	nimR_1			HTH-type transcriptional regulator NimR
PLNMODBO_00011	CDS	879	dhmA_1	3.8.1.5		Haloalkane dehalogenase
PLNMODBO_00012	CDS	603				hypothetical protein
PLNMODBO_00013	CDS	1278	fes_1		COG2382	Enterochelin esterase
PLNMODBO_00014	CDS	1260				putative transporter
PLNMODBO_00015	CDS	990				hypothetical protein
PLNMODBO_00016	CDS	1089	yncE_1		COG3391	putative protein YncE
PLNMODBO_00017	CDS	3963	dhbF_1		COG1020	Dimodular nonribosomal peptide synthase
PLNMODBO_00018	CDS	231	dhbB_1	3.3.2.1	COG1535	Isochorismatase
PLNMODBO_00019	CDS	978	yfiY_1		COG0614	putative siderophore-binding lipoprotein YfiY
PLNMODBO_00020	CDS	1089	fepD_2		COG0609	Ferric enterobactin transport system permease protein FepD
PLNMODBO_00021	CDS	1158	feuC_1		COG0609	Iron-uptake system permease protein FeuC
PLNMODBO_00022	CDS	999	ispH2_1	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 2
PLNMODBO_00023	CDS	1398				hypothetical protein
PLNMODBO_00024	CDS	777		1.1.1.393	COG1028	3-beta-hydroxycholanate 3-dehydrogenase (NADP(+))
PLNMODBO_00025	CDS	309				hypothetical protein
PLNMODBO_00026	CDS	585				hypothetical protein
PLNMODBO_00027	CDS	813				hypothetical protein
PLNMODBO_00028	CDS	384				hypothetical protein
PLNMODBO_00029	CDS	222				hypothetical protein
PLNMODBO_00030	CDS	639				hypothetical protein
PLNMODBO_00031	CDS	774				hypothetical protein
PLNMODBO_00032	CDS	543				hypothetical protein
PLNMODBO_00033	CDS	2640				hypothetical protein
PLNMODBO_00034	CDS	591				hypothetical protein
PLNMODBO_00035	CDS	852	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
PLNMODBO_00036	CDS	237	gph_1	3.1.3.18		Phosphoglycolate phosphatase
PLNMODBO_00037	CDS	174				hypothetical protein
PLNMODBO_00038	CDS	984	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
PLNMODBO_00039	CDS	468				hypothetical protein
PLNMODBO_00040	CDS	288				hypothetical protein
PLNMODBO_00041	CDS	687			COG1926	putative protein
PLNMODBO_00042	CDS	1350			COG1926	putative protein
PLNMODBO_00043	CDS	681			COG1926	Putative phosphoribosyl transferase
PLNMODBO_00044	CDS	1494	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
PLNMODBO_00045	CDS	354				hypothetical protein
PLNMODBO_00046	CDS	984				hypothetical protein
PLNMODBO_00047	CDS	1095				hypothetical protein
PLNMODBO_00048	CDS	918			COG3039	IS5 family transposase IS4811
PLNMODBO_00049	CDS	909	qorA_1	1.6.5.5	COG0604	Quinone oxidoreductase 1
PLNMODBO_00050	CDS	993	iolS_1	1.1.1.-	COG0667	Aldo-keto reductase IolS
PLNMODBO_00051	CDS	282				hypothetical protein
PLNMODBO_00052	CDS	324				hypothetical protein
PLNMODBO_00053	CDS	474	cadI		COG0346	Cadmium-induced protein CadI
PLNMODBO_00054	CDS	378				hypothetical protein
PLNMODBO_00055	CDS	1122	acr3		COG0798	Arsenical-resistance protein Acr3
PLNMODBO_00056	CDS	495	arsC	1.20.4.4		Arsenate reductase
PLNMODBO_00057	CDS	1284				hypothetical protein
PLNMODBO_00058	CDS	837	rhaS_1			HTH-type transcriptional activator RhaS
PLNMODBO_00059	CDS	939	cysL		COG0583	HTH-type transcriptional regulator CysL
PLNMODBO_00060	CDS	1008	yfmJ_1	1.-.-.-	COG2130	Putative NADP-dependent oxidoreductase YfmJ
PLNMODBO_00061	CDS	1962	bmrA_1	3.6.3.-	COG1132	Multidrug resistance ABC transporter ATP-binding/permease protein BmrA
PLNMODBO_00062	CDS	417				hypothetical protein
PLNMODBO_00063	CDS	258				hypothetical protein
PLNMODBO_00064	CDS	1857				hypothetical protein
PLNMODBO_00065	CDS	108				hypothetical protein
PLNMODBO_00066	CDS	99				hypothetical protein
PLNMODBO_00067	CDS	750				hypothetical protein
PLNMODBO_00068	CDS	600				hypothetical protein
PLNMODBO_00069	CDS	1245				hypothetical protein
PLNMODBO_00070	CDS	891				hypothetical protein
PLNMODBO_00071	CDS	471				hypothetical protein
PLNMODBO_00072	CDS	1017	sigJ_1			ECF RNA polymerase sigma factor SigJ
PLNMODBO_00073	CDS	783				hypothetical protein
PLNMODBO_00074	CDS	372				hypothetical protein
PLNMODBO_00075	CDS	321				hypothetical protein
PLNMODBO_00076	CDS	3099			COG0247	putative protein
PLNMODBO_00077	CDS	1755		3.2.1.28	COG3387	Trehalase
PLNMODBO_00078	CDS	1029	drrA_1	3.6.3.-		Daunorubicin/doxorubicin resistance ATP-binding protein DrrA
PLNMODBO_00079	CDS	819	drrB_1			Daunorubicin/doxorubicin resistance ABC transporter permease protein DrrB
PLNMODBO_00080	CDS	1620				hypothetical protein
PLNMODBO_00081	CDS	762	tipA_1			HTH-type transcriptional activator TipA
PLNMODBO_00082	CDS	3690	narG_1	1.7.5.1	COG5013	Nitrate reductase alpha subunit
PLNMODBO_00083	CDS	1641	narY_1	1.7.5.1	COG1140	Respiratory nitrate reductase 2 beta chain
PLNMODBO_00084	CDS	627				hypothetical protein
PLNMODBO_00085	CDS	807	narX_1		COG2180	Nitrate reductase-like protein NarX
PLNMODBO_00086	CDS	933				hypothetical protein
PLNMODBO_00087	CDS	1284	icl	4.1.3.1	COG2224	Isocitrate lyase
PLNMODBO_00088	CDS	1599	aceB_1	2.3.3.9		Malate synthase
PLNMODBO_00089	CDS	870	fadB2_1	1.1.1.157	COG1250	3-hydroxybutyryl-CoA dehydrogenase
PLNMODBO_00090	CDS	1140	prpC	2.3.3.5	COG0372	2-methylcitrate synthase
PLNMODBO_00091	CDS	906	mmgF	4.1.3.-	COG2513	2-methylisocitrate lyase
PLNMODBO_00092	CDS	1509	prpD2	4.2.1.79	COG2079	2-methylcitrate dehydratase 2
PLNMODBO_00093	CDS	1443	prpR		COG1396	HTH-type transcriptional regulator PrpR
PLNMODBO_00094	CDS	570	paoA_1	1.2.99.6	COG2080	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA
PLNMODBO_00095	CDS	999	paoB_1	1.2.99.6	COG1319	Aldehyde oxidoreductase FAD-binding subunit PaoB
PLNMODBO_00096	CDS	2229	paoC_1	1.2.99.6	COG1529	Aldehyde oxidoreductase molybdenum-binding subunit PaoC
PLNMODBO_00097	CDS	210				hypothetical protein
PLNMODBO_00098	CDS	756	embR_1		COG1716	Transcriptional regulatory protein EmbR
PLNMODBO_00099	CDS	1692	otr(B)			oxytetracycline resistance efflux MFS transporter OtrB
PLNMODBO_00100	CDS	498				hypothetical protein
PLNMODBO_00101	CDS	714	lnrK_1		COG2197	Transcriptional regulatory protein LnrK
PLNMODBO_00102	CDS	816				hypothetical protein
PLNMODBO_00103	CDS	906				hypothetical protein
PLNMODBO_00104	CDS	243				hypothetical protein
PLNMODBO_00105	CDS	495				hypothetical protein
PLNMODBO_00106	CDS	594				hypothetical protein
PLNMODBO_00107	CDS	1251	mycG_1	1.14.-.-		Mycinamicin IV hydroxylase/epoxidase
PLNMODBO_00108	CDS	873		2.1.1.255		Geranyl diphosphate 2-C-methyltransferase
PLNMODBO_00109	CDS	1062		4.2.3.118		2-methylisoborneol synthase
PLNMODBO_00110	CDS	1455				hypothetical protein
PLNMODBO_00111	CDS	444		1.1.98.-		F420H(2)-dependent quinone reductase
PLNMODBO_00112	CDS	528				hypothetical protein
PLNMODBO_00113	CDS	474				hypothetical protein
PLNMODBO_00114	CDS	888				hypothetical protein
PLNMODBO_00115	CDS	483	gyrB_1	5.6.2.2		DNA gyrase subunit B
PLNMODBO_00116	CDS	2091	gyrBR_1	5.6.2.2		DNA gyrase subunit B, novobiocin-resistant
PLNMODBO_00117	CDS	1287				hypothetical protein
PLNMODBO_00118	CDS	447				hypothetical protein
PLNMODBO_00119	CDS	669	cmoM_1	2.1.1.-		tRNA 5-carboxymethoxyuridine methyltransferase
PLNMODBO_00120	CDS	2568				hypothetical protein
PLNMODBO_00121	CDS	3519				hypothetical protein
PLNMODBO_00122	CDS	840				hypothetical protein
PLNMODBO_00123	CDS	1302				hypothetical protein
PLNMODBO_00124	CDS	1428				hypothetical protein
PLNMODBO_00125	CDS	774				hypothetical protein
PLNMODBO_00126	CDS	525				hypothetical protein
PLNMODBO_00127	CDS	183				hypothetical protein
PLNMODBO_00128	CDS	879	pcm_1	2.1.1.77		Protein-L-isoaspartate O-methyltransferase
PLNMODBO_00129	CDS	135				hypothetical protein
PLNMODBO_00130	CDS	396				hypothetical protein
PLNMODBO_00131	CDS	1974				hypothetical protein
PLNMODBO_00132	CDS	339				hypothetical protein
PLNMODBO_00133	CDS	945				hypothetical protein
PLNMODBO_00134	CDS	468				hypothetical protein
PLNMODBO_00135	CDS	513				hypothetical protein
PLNMODBO_00136	CDS	276				hypothetical protein
PLNMODBO_00137	CDS	729				hypothetical protein
PLNMODBO_00138	CDS	165				hypothetical protein
PLNMODBO_00139	CDS	1071				hypothetical protein
PLNMODBO_00140	CDS	783				hypothetical protein
PLNMODBO_00141	CDS	201				hypothetical protein
PLNMODBO_00142	CDS	630	thpR_1	3.1.4.58		RNA 2',3'-cyclic phosphodiesterase
PLNMODBO_00143	CDS	714				hypothetical protein
PLNMODBO_00144	CDS	96				hypothetical protein
PLNMODBO_00145	CDS	603	pikAII	2.3.1.239		Narbonolide/10-deoxymethynolide synthase PikA2, modules 3 and 4
PLNMODBO_00146	CDS	219				hypothetical protein
PLNMODBO_00147	CDS	240				hypothetical protein
PLNMODBO_00148	CDS	129				hypothetical protein
PLNMODBO_00149	CDS	693				hypothetical protein
PLNMODBO_00150	CDS	729				hypothetical protein
PLNMODBO_00151	CDS	768				hypothetical protein
PLNMODBO_00152	CDS	729				hypothetical protein
PLNMODBO_00153	CDS	348				hypothetical protein
PLNMODBO_00154	CDS	996				hypothetical protein
PLNMODBO_00155	CDS	483	sigF_1		COG1191	RNA polymerase sigma factor SigF
PLNMODBO_00156	CDS	381				hypothetical protein
PLNMODBO_00157	CDS	1443				hypothetical protein
PLNMODBO_00158	CDS	174				hypothetical protein
PLNMODBO_00159	CDS	189				hypothetical protein
PLNMODBO_00160	CDS	837				hypothetical protein
PLNMODBO_00161	CDS	1152		1.-.-.-	COG1018	NADPH oxidoreductase
PLNMODBO_00162	CDS	1143	desA3	1.14.19.-	COG3239	NADPH-dependent stearoyl-CoA 9-desaturase
PLNMODBO_00163	CDS	555				hypothetical protein
PLNMODBO_00164	CDS	384				hypothetical protein
PLNMODBO_00165	CDS	459				hypothetical protein
PLNMODBO_00166	CDS	999				hypothetical protein
PLNMODBO_00167	CDS	147				hypothetical protein
PLNMODBO_00168	CDS	249				hypothetical protein
PLNMODBO_00169	CDS	588				hypothetical protein
PLNMODBO_00170	CDS	405				IS701 family transposase ISRhosp4
PLNMODBO_00171	CDS	381			COG3039	IS5 family transposase ISSgr2
PLNMODBO_00172	CDS	555				hypothetical protein
PLNMODBO_00173	CDS	312			COG3039	IS5 family transposase ISSan1
PLNMODBO_00174	CDS	279				hypothetical protein
PLNMODBO_00175	CDS	567				hypothetical protein
PLNMODBO_00176	CDS	471				hypothetical protein
