locus_tag	ftype	length_bp	gene	EC_number	COG	product
GKLDFEFB_00001	CDS	1074	fepG_1		COG4779	Ferric enterobactin transport system permease protein FepG
GKLDFEFB_00002	CDS	1233	tolB_1			Tol-Pal system protein TolB
GKLDFEFB_00003	CDS	576				hypothetical protein
GKLDFEFB_00004	CDS	813	nimR_1			HTH-type transcriptional regulator NimR
GKLDFEFB_00005	CDS	879	dhmA_1	3.8.1.5		Haloalkane dehalogenase
GKLDFEFB_00006	CDS	603				hypothetical protein
GKLDFEFB_00007	CDS	1278	fes_1		COG2382	Enterochelin esterase
GKLDFEFB_00008	CDS	1260				putative transporter
GKLDFEFB_00009	CDS	990				hypothetical protein
GKLDFEFB_00010	CDS	1089	yncE_1		COG3391	putative protein YncE
GKLDFEFB_00011	CDS	3963	dhbF_1		COG1020	Dimodular nonribosomal peptide synthase
GKLDFEFB_00012	CDS	231	dhbB_1	3.3.2.1	COG1535	Isochorismatase
GKLDFEFB_00013	CDS	978	yfiY_1		COG0614	putative siderophore-binding lipoprotein YfiY
GKLDFEFB_00014	CDS	960	fepD_1		COG0609	Ferric enterobactin transport system permease protein FepD
GKLDFEFB_00015	CDS	1158	feuC_1		COG0609	Iron-uptake system permease protein FeuC
GKLDFEFB_00016	CDS	999	ispH2_1	1.17.7.4	COG0761	4-hydroxy-3-methylbut-2-enyl diphosphate reductase 2
GKLDFEFB_00017	CDS	1398				hypothetical protein
GKLDFEFB_00018	CDS	777		1.1.1.393	COG1028	3-beta-hydroxycholanate 3-dehydrogenase (NADP(+))
GKLDFEFB_00019	CDS	309				hypothetical protein
GKLDFEFB_00020	CDS	585				hypothetical protein
GKLDFEFB_00021	CDS	813				hypothetical protein
GKLDFEFB_00022	CDS	384				hypothetical protein
GKLDFEFB_00023	CDS	222				hypothetical protein
GKLDFEFB_00024	CDS	639				hypothetical protein
GKLDFEFB_00025	CDS	774				hypothetical protein
GKLDFEFB_00026	CDS	543				hypothetical protein
GKLDFEFB_00027	CDS	2640				hypothetical protein
GKLDFEFB_00028	CDS	591				hypothetical protein
GKLDFEFB_00029	CDS	852	tam_1	2.1.1.144		Trans-aconitate 2-methyltransferase
GKLDFEFB_00030	CDS	237	gph_1	3.1.3.18		Phosphoglycolate phosphatase
GKLDFEFB_00031	CDS	174				hypothetical protein
GKLDFEFB_00032	CDS	984	cdhR_1		COG4977	HTH-type transcriptional regulator CdhR
GKLDFEFB_00033	CDS	468				hypothetical protein
GKLDFEFB_00034	CDS	288				hypothetical protein
GKLDFEFB_00035	CDS	687			COG1926	putative protein
GKLDFEFB_00036	CDS	1350			COG1926	putative protein
GKLDFEFB_00037	CDS	681			COG1926	Putative phosphoribosyl transferase
GKLDFEFB_00038	CDS	1494	hisC_1	2.6.1.9		Histidinol-phosphate aminotransferase
GKLDFEFB_00039	CDS	354				hypothetical protein
GKLDFEFB_00040	CDS	984				hypothetical protein
